id,title,start,end,total_reactions,total_comments,new_reactions,new_comments
[`flutter/flutter#110431`](https://github.com/flutter/flutter/issues/110431),"Flutter adds additional one frame touch latency compared to native",2024-01-24,2024-02-06,274,23,1,0
[`flutter/flutter#64958`](https://github.com/flutter/flutter/issues/64958),"Make it easy to use C# for Windows plugins",2024-01-24,2024-02-06,201,62,1,0
[`flutter/flutter#14288`](https://github.com/flutter/flutter/issues/14288),"Antialiasing behaviour when same-colour ",2024-01-24,2024-02-06,139,92,1,0
[`flutter/flutter#101479`](https://github.com/flutter/flutter/issues/101479),"Move the material and cupertino packages outside of Flutter",2024-01-24,2024-02-06,95,22,1,0
[`flutter/flutter#104889`](https://github.com/flutter/flutter/issues/104889),"[webview_flutter][android] webview crashes when embedded in a scrollview",2024-01-24,2024-02-06,75,49,1,0
[`flutter/flutter#9688`](https://github.com/flutter/flutter/issues/9688),"Input validator async",2024-01-24,2024-02-06,65,23,1,0
[`flutter/flutter#40135`](https://github.com/flutter/flutter/issues/40135),"Don't rely on global `pod` installation, use bundled version",2024-01-24,2024-02-06,50,10,1,0
[`flutter/flutter#37510`](https://github.com/flutter/flutter/issues/37510),"Provide a disableSwipe to PageView",2024-01-24,2024-02-06,45,22,1,0
[`flutter/flutter#76248`](https://github.com/flutter/flutter/issues/76248),"[web] Emojis take a few seconds to render on canvaskit",2024-01-24,2024-02-06,39,14,1,1
[`flutter/flutter#76478`](https://github.com/flutter/flutter/issues/76478),"[web]: No back/forward gesture support on iOS and MacOS browsers",2024-01-24,2024-02-06,36,14,1,1
[`flutter/flutter#117382`](https://github.com/flutter/flutter/issues/117382),"Canvas instrumentation (recording)",2024-01-24,2024-02-06,28,6,1,0
[`flutter/flutter#37987`](https://github.com/flutter/flutter/issues/37987),"Enable hot restart on profile mode",2024-01-24,2024-02-06,27,14,1,0
[`flutter/flutter#62966`](https://github.com/flutter/flutter/issues/62966),"Use dart_test.yaml in flutter test",2024-01-24,2024-02-06,20,6,1,0
[`flutter/flutter#90373`](https://github.com/flutter/flutter/issues/90373),"[Image_picker]: Image gallery opens twice if we choose select photos permission.",2024-01-24,2024-02-06,19,42,1,1
[`flutter/flutter#69676`](https://github.com/flutter/flutter/issues/69676),"Persistent bottom sheet does not respect SafeArea",2024-01-24,2024-02-06,19,8,1,0
[`flutter/flutter#73315`](https://github.com/flutter/flutter/issues/73315),"Ink widget decoration visible or/and renders outside the ListView boundary up to the cacheExtent.",2024-01-24,2024-02-06,18,14,1,0
[`flutter/flutter#73208`](https://github.com/flutter/flutter/issues/73208),"Draggable feedback widget gets an offset when InteractiveViewer is scaled",2024-01-24,2024-02-06,17,13,1,0
[`flutter/flutter#117937`](https://github.com/flutter/flutter/issues/117937),"External Texture Support for Vulkan",2024-01-24,2024-02-06,15,3,1,0
[`flutter/flutter#14203`](https://github.com/flutter/flutter/issues/14203),"Document that WillPopScope prevents swipe to go back on MaterialPageRoute",2024-01-24,2024-02-06,188,112,1,0
[`flutter/flutter#69429`](https://github.com/flutter/flutter/issues/69429),"Make tests compile and run faster",2024-01-24,2024-02-06,92,22,1,0
[`flutter/flutter#51928`](https://github.com/flutter/flutter/issues/51928),"[camera] Support for multiple cameras at once",2024-01-24,2024-02-06,80,9,1,0
[`flutter/flutter#105672`](https://github.com/flutter/flutter/issues/105672),"[Proposal] Access l18n Translations with Dynamic Keys",2024-01-24,2024-02-06,74,16,1,0
[`flutter/flutter#69157`](https://github.com/flutter/flutter/issues/69157),"Build Flutter macOS artifacts with ARM architecture slice",2024-01-24,2024-02-06,67,10,1,0
[`flutter/flutter#60069`](https://github.com/flutter/flutter/issues/60069),"[web] support offline PWA",2024-01-24,2024-02-06,58,35,1,7
[`flutter/flutter#97050`](https://github.com/flutter/flutter/issues/97050),"Supporting of in app purchases on Windows Store",2024-01-24,2024-02-06,44,6,1,1
[`flutter/flutter#135050`](https://github.com/flutter/flutter/issues/135050),"Add `context.dependOnListenable(Listenable listenable)`",2024-01-24,2024-02-06,43,8,1,0
[`flutter/flutter#78247`](https://github.com/flutter/flutter/issues/78247),"Low Resolution in Camera Image Stream, ResolutionPreset Constructor Parameter is ignored",2024-01-24,2024-02-06,42,12,1,0
[`flutter/flutter#22856`](https://github.com/flutter/flutter/issues/22856),"On Android when there are multiple flavors and no --flavor flag is specified then use a default one",2024-01-24,2024-02-06,42,21,1,0
[`flutter/flutter#64073`](https://github.com/flutter/flutter/issues/64073),"[google_maps_flutter_web] Add ""My Location"" Widget.",2024-01-24,2024-02-06,41,13,1,0
[`flutter/flutter#8230`](https://github.com/flutter/flutter/issues/8230),"Platform specific assets",2024-01-24,2024-02-06,37,8,1,0
[`flutter/flutter#81739`](https://github.com/flutter/flutter/issues/81739),"[flutter_markdown] Support `maxLines` and `overflow`",2024-01-24,2024-02-06,32,5,1,0
[`flutter/flutter#17130`](https://github.com/flutter/flutter/issues/17130),"A cold-start ""flutter test"" takes multiple seconds",2024-01-24,2024-02-06,32,34,1,0
[`flutter/flutter#114012`](https://github.com/flutter/flutter/issues/114012),"Camera CameraCaptureSession.close() crash",2024-01-24,2024-02-06,31,50,1,1
[`flutter/flutter#98178`](https://github.com/flutter/flutter/issues/98178),"[ListTile] Support custom height constraints of leading/trailing",2024-01-24,2024-02-06,28,7,1,0
[`flutter/flutter#54272`](https://github.com/flutter/flutter/issues/54272),"Add support for RefreshIndicator to be used with SliverAppBar",2024-01-24,2024-02-06,29,14,1,0
[`flutter/flutter#44937`](https://github.com/flutter/flutter/issues/44937),"Allow using dart:indexed_db in flutter apps",2024-01-24,2024-02-06,28,13,1,1
[`flutter/flutter#110658`](https://github.com/flutter/flutter/issues/110658),"coreLibraryDesugaringEnabled  option in android/app/build.gradle causes immediate flutter crash (java.lang.NoSuchMethod) on Android 12L/13 ",2024-01-24,2024-02-06,26,15,1,0
[`flutter/flutter#60750`](https://github.com/flutter/flutter/issues/60750),"[ios] Initializing google map with 'n' markers takes O(n) time to add and blocks the UI during this period",2024-01-24,2024-02-06,25,18,1,0
[`flutter/flutter#129933`](https://github.com/flutter/flutter/issues/129933),"[Flutter-web] Control+MouseWheel should zoom the browser window",2024-01-24,2024-02-06,23,9,1,0
[`flutter/flutter#99052`](https://github.com/flutter/flutter/issues/99052),"There should be no default page transitions for desktop and web platforms.",2024-01-24,2024-02-06,20,13,1,0
[`flutter/flutter#110781`](https://github.com/flutter/flutter/issues/110781),"[go_router_builder] Custom type conversion for parameters",2024-01-24,2024-02-06,14,2,1,0
[`flutter/flutter#21230`](https://github.com/flutter/flutter/issues/21230),"Add new features to Dismissible widget",2024-01-24,2024-02-06,14,5,1,0
[`flutter/flutter#14050`](https://github.com/flutter/flutter/issues/14050),"Let flutter be installable via homebrew",2024-01-24,2024-02-06,1001,83,1,0
[`flutter/flutter#26863`](https://github.com/flutter/flutter/issues/26863),"[google_maps_flutter] Support marker clustering",2024-01-24,2024-02-06,331,56,1,0
[`flutter/flutter#28894`](https://github.com/flutter/flutter/issues/28894),"Emoji size is off on iOS",2024-01-24,2024-02-06,131,183,1,0
[`flutter/flutter#63693`](https://github.com/flutter/flutter/issues/63693),"Add new Cupertino calendar date picker mode",2024-01-24,2024-02-06,115,33,1,0
[`flutter/flutter#4719`](https://github.com/flutter/flutter/issues/4719),"flutter test --coverage and flutter test --watch",2024-01-24,2024-02-06,106,11,1,0
[`flutter/flutter#32045`](https://github.com/flutter/flutter/issues/32045),"Flutter clipboard should support images",2024-01-24,2024-02-06,81,20,1,0
[`flutter/flutter#49757`](https://github.com/flutter/flutter/issues/49757),"Desktop app frame rate isn't synced to display",2024-01-24,2024-02-06,76,20,1,0
[`flutter/flutter#40504`](https://github.com/flutter/flutter/issues/40504),"Add support for external storage(Sd Card, USB Storage etc) in flutter.",2024-01-24,2024-02-06,75,27,1,1
[`flutter/flutter#40682`](https://github.com/flutter/flutter/issues/40682),"Spellcheck on Flutter Web",2024-01-24,2024-02-06,66,18,1,0
[`flutter/flutter#139292`](https://github.com/flutter/flutter/issues/139292),"New DOM renderer for Flutter web",2024-01-24,2024-02-06,59,27,1,0
[`flutter/flutter#77104`](https://github.com/flutter/flutter/issues/77104),"Enable custom ""flutter create"" templates",2024-01-24,2024-02-06,59,26,1,1
[`flutter/flutter#127855`](https://github.com/flutter/flutter/issues/127855),"Implement wide gamut color support in the Framework",2024-01-24,2024-02-06,57,6,1,0
[`flutter/flutter#123078`](https://github.com/flutter/flutter/issues/123078),"[shared_preferences] Consider making async accessors, with optional caching layer",2024-01-24,2024-02-06,51,6,1,0
[`flutter/flutter#34704`](https://github.com/flutter/flutter/issues/34704),"Flutter slider should have the feature to show value indicator all the time, not just while gesturing",2024-01-24,2024-02-06,50,26,1,0
[`flutter/flutter#104509`](https://github.com/flutter/flutter/issues/104509),"Flutter web - Need documentation on how to conditionally display a ""Refresh. New Version is available."" prompt when updated code is deployed to production.",2024-01-24,2024-02-06,44,19,1,1
[`flutter/flutter#101296`](https://github.com/flutter/flutter/issues/101296),"[integration_test] Enable sharding of integration test suites",2024-01-24,2024-02-06,44,11,1,0
[`flutter/flutter#124334`](https://github.com/flutter/flutter/issues/124334),"WebGPU Backend for Flutter Web",2024-01-24,2024-02-06,40,5,1,0
[`flutter/flutter#64157`](https://github.com/flutter/flutter/issues/64157),"NestedScrollView in DraggableScrollableSheet not working",2024-01-24,2024-02-06,34,21,1,0
[`flutter/flutter#28012`](https://github.com/flutter/flutter/issues/28012),"Make FixedExtentScrollPhysics & FixedExtentScrollController usable with ordinary ListViews",2024-01-24,2024-02-06,28,9,1,0
[`flutter/flutter#85785`](https://github.com/flutter/flutter/issues/85785),"[google_sign_in] PlatformException is thrown when cancelling signIn",2024-01-24,2024-02-06,24,42,1,0
[`flutter/flutter#88765`](https://github.com/flutter/flutter/issues/88765),"integration_test missing FlutterDriver.waitFor support",2024-01-24,2024-02-06,18,6,1,0
[`flutter/flutter#89558`](https://github.com/flutter/flutter/issues/89558),"[Android]The Hybrid composition Platform view will show on the top of page while resume the app from background.",2024-01-24,2024-02-06,17,24,1,3
[`flutter/flutter#129632`](https://github.com/flutter/flutter/issues/129632),"Stuttering while scrolling PlatformViews only on iPhone 12 onwards (works on iPhone 7)",2024-01-24,2024-02-06,16,15,1,0
[`flutter/flutter#64552`](https://github.com/flutter/flutter/issues/64552),"Show suffix/prefix text in TextField even when it is not in focus and empty.",2024-01-24,2024-02-06,16,11,1,0
[`flutter/flutter#20220`](https://github.com/flutter/flutter/issues/20220),"Text/TextSpan superscript on top (like HTML ruby tag) for phonetic pronunciations",2024-01-24,2024-02-06,14,2,1,0
[`flutter/flutter#96514`](https://github.com/flutter/flutter/issues/96514),"[Proposal] Conditional bundling of assets",2024-01-24,2024-02-06,13,9,1,0
[`flutter/flutter#114620`](https://github.com/flutter/flutter/issues/114620),"Web autofill throw exception when using html InputElement",2024-02-01,2024-02-06,14,17,1,3
[`flutter/flutter#58498`](https://github.com/flutter/flutter/issues/58498),"[web] Textfield 'autofocus: true' doesn't show up the keyboard",2024-01-24,2024-02-06,81,40,1,0
[`flutter/flutter#32804`](https://github.com/flutter/flutter/issues/32804),"BackdropFilter performance issue",2024-01-24,2024-02-06,73,47,1,1
[`flutter/flutter#59430`](https://github.com/flutter/flutter/issues/59430),"Support XDG Base Directory Specfication",2024-01-24,2024-02-06,71,6,1,0
[`flutter/flutter#99606`](https://github.com/flutter/flutter/issues/99606),"Ability to change the keyboard language programmatically",2024-01-24,2024-02-06,68,24,1,0
[`flutter/flutter#86636`](https://github.com/flutter/flutter/issues/86636),"Support weight/boldness configuration of an Icon",2024-01-24,2024-02-06,45,9,1,0
[`flutter/flutter#67034`](https://github.com/flutter/flutter/issues/67034),"Flutter Fonts are not rendering correctly, Antialiasing is doubled on desktop",2024-01-24,2024-02-06,36,21,1,0
[`flutter/flutter#98481`](https://github.com/flutter/flutter/issues/98481),"[IOS] App Crashes with error EXC_BAD_ACCESS KERN_INVALID_ADDRESS",2024-01-24,2024-02-06,34,62,1,0
[`flutter/flutter#65777`](https://github.com/flutter/flutter/issues/65777),"Integrate Navigator 2.0 and state restoration for the web",2024-01-24,2024-02-06,31,24,1,0
[`flutter/flutter#138624`](https://github.com/flutter/flutter/issues/138624),"PopScope does not invoke `onPopInvoked` for iOS back gesture when `canPop` set to false",2024-01-24,2024-02-06,30,30,1,12
[`flutter/flutter#46233`](https://github.com/flutter/flutter/issues/46233),"Rendering order inside Grid/ListView",2024-01-24,2024-02-06,29,8,1,0
[`flutter/flutter#121929`](https://github.com/flutter/flutter/issues/121929),"[animation] using animations package with go_router package instead of Navigator.push() method",2024-01-24,2024-02-06,28,13,1,0
[`flutter/flutter#53308`](https://github.com/flutter/flutter/issues/53308),"Text on desktop Windows 10 looks rough(no antialiasing)",2024-01-24,2024-02-06,27,30,1,0
[`flutter/flutter#88515`](https://github.com/flutter/flutter/issues/88515),"Add dismissLimits to Dismissible to limit the drag extent",2024-01-24,2024-02-06,20,4,1,0
[`flutter/flutter#81804`](https://github.com/flutter/flutter/issues/81804),"PlatformException VideoError, Video Player had error",2024-01-24,2024-02-06,17,64,1,1
[`flutter/flutter#116872`](https://github.com/flutter/flutter/issues/116872),"[go_router] Query Parameters are not preserved on `pop`",2024-01-24,2024-02-06,16,13,1,0
[`flutter/flutter#139289`](https://github.com/flutter/flutter/issues/139289),"Allow to provide compile-time variables for native platforms from a file",2024-01-24,2024-02-06,34,5,1,1
[`flutter/flutter#36461`](https://github.com/flutter/flutter/issues/36461),"Different Appbar with same bottomNavigatioBar without nesting Scaffolds",2024-01-24,2024-02-06,33,17,1,0
[`flutter/flutter#64768`](https://github.com/flutter/flutter/issues/64768),"Add a Split widget",2024-01-24,2024-02-06,32,13,1,0
[`flutter/flutter#93238`](https://github.com/flutter/flutter/issues/93238),"Gradle Kotlin DSL support.",2024-01-24,2024-02-06,27,13,1,0
[`flutter/flutter#134723`](https://github.com/flutter/flutter/issues/134723),"Password bar in the keyboard is flashing when using `TextField` with `AutofillHints.password` on iOS 17",2024-01-24,2024-02-06,20,22,1,1
[`flutter/flutter#53781`](https://github.com/flutter/flutter/issues/53781),"Add option to avoid pod install during ""flutter build ios""",2024-01-24,2024-02-06,19,13,1,0
[`flutter/flutter#28195`](https://github.com/flutter/flutter/issues/28195),"How to use local aar inside flutter plugin?",2024-01-24,2024-02-06,19,40,1,1
[`flutter/flutter#98773`](https://github.com/flutter/flutter/issues/98773),"[Android] Document fix for warning ""native debug symbols are missing in appbundle"" when uploading app to playconsole",2024-01-24,2024-02-06,17,12,1,3
[`flutter/flutter#22429`](https://github.com/flutter/flutter/issues/22429),"Offline mode needs to be extended to all flutter commands",2024-01-24,2024-02-06,17,6,1,0
[`flutter/flutter#99100`](https://github.com/flutter/flutter/issues/99100),"[go_router] Platform-adaptive support",2024-01-26,2024-02-06,14,10,1,0
[`flutter/flutter#104552`](https://github.com/flutter/flutter/issues/104552),"`SelectionArea` does not select the text when using double and triple tap",2024-01-24,2024-02-06,32,28,0,2
[`flutter/flutter#118481`](https://github.com/flutter/flutter/issues/118481),"[web] Multi-view Embedding Support",2024-01-24,2024-02-06,29,6,0,2
[`flutter/flutter#51478`](https://github.com/flutter/flutter/issues/51478),"Flutter OnScreen Keyboard opens on physical key press",2024-01-24,2024-01-28,16,19,0,1
[`flutter/flutter#69529`](https://github.com/flutter/flutter/issues/69529),"[web] Scroll is not recognized by the browser",2024-01-24,2024-02-06,141,91,0,4
[`flutter/flutter#23603`](https://github.com/flutter/flutter/issues/23603),"Flutter should be able to interact with host clipboard for rich content",2024-01-24,2024-02-06,107,9,0,1
[`flutter/flutter#118498`](https://github.com/flutter/flutter/issues/118498),"[google_maps_flutter] Google maps transition from one page to another is buggy.",2024-01-24,2024-02-06,56,45,0,1
[`flutter/flutter#16810`](https://github.com/flutter/flutter/issues/16810),"Seeing a green rectangle around the border of the gallery app when I run it",2024-01-24,2024-02-06,26,40,0,3
[`flutter/flutter#79605`](https://github.com/flutter/flutter/issues/79605),"Memory leak with Stateless Widget",2024-01-24,2024-02-06,19,55,0,2
[`flutter/flutter#36925`](https://github.com/flutter/flutter/issues/36925),"[webview_flutter] Add an option to bypass SSL checks",2024-01-24,2024-02-06,19,18,0,1
[`flutter/flutter#113757`](https://github.com/flutter/flutter/issues/113757),"[go_router] ShellRoute with CupertinoTabScaffold crashes with ""multiple widgets used the same GlobalKey""",2024-01-24,2024-02-06,17,22,0,1
[`flutter/flutter#26000`](https://github.com/flutter/flutter/issues/26000),"iOS Google Maps: Strange appear animation",2024-01-24,2024-02-06,17,20,0,1
[`flutter/flutter#51890`](https://github.com/flutter/flutter/issues/51890),"add screenshot capability to e2e integration tests",2024-01-24,2024-02-06,64,31,0,1
[`flutter/flutter#124205`](https://github.com/flutter/flutter/issues/124205),"Keyboard issue on mobile Web platform",2024-01-24,2024-02-06,29,36,0,1
[`flutter/flutter#129757`](https://github.com/flutter/flutter/issues/129757),"☂️ Native assets support",2024-01-24,2024-02-06,22,3,0,3
[`flutter/flutter#57090`](https://github.com/flutter/flutter/issues/57090),"[webview_flutter] Support disabling overscroll",2024-01-24,2024-02-06,16,6,0,1
[`flutter/flutter#36283`](https://github.com/flutter/flutter/issues/36283),"Can't swipe to dismiss scrollable Bottom Sheet",2024-01-24,2024-02-06,62,34,0,3
[`flutter/flutter#44572`](https://github.com/flutter/flutter/issues/44572),"Path.combine not implemented in the HTML backend",2024-01-24,2024-02-06,37,29,0,1
[`flutter/flutter#49531`](https://github.com/flutter/flutter/issues/49531),"Camera live filter for photo and video",2024-01-24,2024-02-06,35,23,0,1
[`flutter/flutter#52522`](https://github.com/flutter/flutter/issues/52522),"[in_app_purchase] Support InApp purchase local verification",2024-01-24,2024-02-06,34,11,0,1
[`flutter/flutter#26527`](https://github.com/flutter/flutter/issues/26527),"Listview with shrinkwrap on the cross axis - impossible?",2024-01-24,2024-02-06,28,14,0,1
[`flutter/flutter#99819`](https://github.com/flutter/flutter/issues/99819),"[flutter_markdown] Selecting text works only paragraph by paragraph in markdown widget when text is not indented",2024-01-24,2024-02-06,16,19,0,1
[`flutter/flutter#18968`](https://github.com/flutter/flutter/issues/18968),"[camera] Access realtime image frames for pre-processing and effect overlays",2024-01-24,2024-02-06,80,24,0,1
[`flutter/flutter#48464`](https://github.com/flutter/flutter/issues/48464),"When popping a route, controls should reacquire focus without opening the keyboard or scrolling to make visible.",2024-01-24,2024-02-06,30,25,0,1
[`flutter/flutter#59552`](https://github.com/flutter/flutter/issues/59552),"Flutter flashes black screen on Android when resuming",2024-01-24,2024-02-06,19,32,0,4
[`flutter/flutter#78746`](https://github.com/flutter/flutter/issues/78746),"Autocomplete widget goes out of screen from right side",2024-01-24,2024-02-06,42,38,0,1
[`flutter/flutter#79172`](https://github.com/flutter/flutter/issues/79172),"[web] complex characters are rendered incorrectly",2024-01-24,2024-02-06,23,20,0,1
[`flutter/flutter#59332`](https://github.com/flutter/flutter/issues/59332),"Flutter Web: ListView lags a lot on mobile browsers, inconsistent performance on different devices on different browsers",2024-01-24,2024-02-06,22,34,0,1
[`flutter/flutter#24233`](https://github.com/flutter/flutter/issues/24233),"Dismissible widgets disable Tabview drag detection",2024-01-24,2024-02-06,16,13,0,1
[`flutter/flutter#53017`](https://github.com/flutter/flutter/issues/53017),"[video_player] Allow creating a video player controller from bytes stream (e.g., Uint8List)",2024-01-24,2024-02-06,14,15,0,9
[`flutter/flutter#129182`](https://github.com/flutter/flutter/issues/129182),"[Flutter Web] Widgets not resizing (disappear) with browser zoom in / out",2024-01-24,2024-01-29,13,53,0,1
[`flutter/flutter#103386`](https://github.com/flutter/flutter/issues/103386),"☂️ [macOS] Support building engine on Apple Silicon without Rosetta",2024-01-24,2024-02-06,23,8,0,2
[`flutter/flutter#76053`](https://github.com/flutter/flutter/issues/76053),"Ability to use TimePicker outside a dialog",2024-01-24,2024-02-06,23,13,0,1
[`flutter/flutter#56383`](https://github.com/flutter/flutter/issues/56383),"[Test]: Golden Test Fails on CI(Same Platform)",2024-01-24,2024-02-06,16,27,0,1
[`flutter/flutter#118384`](https://github.com/flutter/flutter/issues/118384),"A memory leak occurs when using SurfaceView together with AndroidView",2024-01-24,2024-02-06,15,9,0,1
[`flutter/flutter#78422`](https://github.com/flutter/flutter/issues/78422),"[web] Standardized way to preload emoji font using CanvasKit",2024-01-24,2024-02-06,14,15,0,1
[`flutter/flutter#48226`](https://github.com/flutter/flutter/issues/48226),"AnimatedList with Dividers",2024-01-24,2024-02-06,38,10,0,2
[`flutter/flutter#34864`](https://github.com/flutter/flutter/issues/34864),"Slight flicker on the screen when loading from app overview on Android",2024-01-24,2024-02-06,31,41,0,1
[`flutter/flutter#122258`](https://github.com/flutter/flutter/issues/122258),"[go_router_builder] Define routes in separate files",2024-01-24,2024-02-06,27,7,0,1
[`flutter/flutter#14720`](https://github.com/flutter/flutter/issues/14720),"Flutter can receive touches even when hidden behind another native ViewController",2024-01-24,2024-02-06,25,39,0,2
[`flutter/flutter#116383`](https://github.com/flutter/flutter/issues/116383),"[in_app_purchase] Use StoreKit 2 APIs",2024-01-24,2024-02-06,20,11,0,2
[`flutter/flutter#99460`](https://github.com/flutter/flutter/issues/99460),"The following _CastError was thrown during a service extension callback for ""ext.flutter.inspector.getRootWidgetSummaryTree""",2024-01-24,2024-02-06,17,20,0,2
[`flutter/flutter#60160`](https://github.com/flutter/flutter/issues/60160),"Image.memory retains the Uint8List",2024-01-24,2024-02-06,15,10,0,1
